WLS,012,4,00127.158,-0057.516
FFIX,012,4,00097.323,-0036.376
PRNG,013,0,00131.908,00000.000,00000.000,0x0007,1,00884.387,01000.000,00000.000,0x0007,2,01385.041,01000.000,01000.000,0x0007,3,02104.543,02000.000,-1000.000,0x0007
WLS,013,4,00115.558,-0064.949
FFIX,013,4,00106.441,-0050.662
PRNG,014,0,00140.902,00000.000,00000.000,0x0007,1,00875.393,01000.000,00000.000,0x0007,2,01376.047,01000.000,01000.000,0x0007,3,02080.559,02000.000,-1000.000,0x0007
WLS,014,4,00126.209,-0074.638
FFIX,014,4,00111.383,-0056.656
PRNG,015,0,00152.894,00000.000,00000.000,0x0007,1,00863.402,01000.000,00000.000,0x0007,2,01373.049,01000.000,01000.000,0x0007,3,02071.565,02000.000,-1000.000,0x0007
WLS,015,4,00137.609,-0077.131
FFIX,015,4,00117.940,-0061.775
PRNG,016,0,00185.871,00000.000,00000.000,0x0007,1,00842.416,01000.000,00000.000,0x0007,2,01391.037,01000.000,01000.000,0x0007,3,02056.576,02000.000,-1000.000,0x0007
WLS,016,4,00156.948,-0099.748
FFIX,016,4,00122.816,-0066.522
PRNG,017,0,00200.860,00000.000,00000.000,0x0007,1,00842.416,01000.000,00000.000,0x0007,2,01361.057,01000.000,01000.000,0x0007,3,02029.594,02000.000,-1000.000,0x0007
WLS,017,4,00176.052,-0092.375
FFIX,017,4,00126.143,-0068.137
PRNG,018,0,00188.869,00000.000,00000.000,0x0007,1,00833.423,01000.000,00000.000,0x0007,2,01352.063,01000.000,01000.000,0x0007,3,02017.603,02000.000,-1000.000,0x0007
WLS,018,4,00174.248,-0095.276
FFIX,018,4,00129.149,-0069.834
PRNG,019,0,00203.858,00000.000,00000.000,0x0007,1,00809.439,01000.000,00000.000,0x0007,2,01373.049,01000.000,01000.000,0x0007,3,02038.588,02000.000,-1000.000,0x0007
WLS,019,4,00182.876,-0093.931
FFIX,019,4,00132.507,-0071.340
PRNG,020,0,00206.856,00000.000,00000.000,0x0007,1,00785.456,01000.000,00000.000,0x0007,2,01358.059,01000.000,01000.000,0x0007,3,02014.605,02000.000,-1000.000,0x0007
WLS,020,4,00196.242,-0097.875
FFIX,020,4,00136.491,-0072.998
PRNG,021,0,00230.840,00000.000,00000.000,0x0007,1,00803.443,01000.000,00000.000,0x0007,2,01337.074,01000.000,01000.000,0x0007,3,01993.619,02000.000,-1000.000,0x0007
WLS,021,4,00212.308,-0093.166
FFIX,021,4,00141.229,-0074.259
PRNG,022,0,00236.836,00000.000,00000.000,0x0007,1,00797.447,01000.000,00000.000,0x0007,2,01346.068,01000.000,01000.000,0x0007,3,02011.607,02000.000,-1000.000,0x0007
WLS,022,4,00214.094,-0086.056
FFIX,022,4,00177.662,-0080.157
PRNG,023,0,00245.829,00000.000,00000.000,0x0007,1,00767.468,01000.000,00000.000,0x0007,2,01337.074,01000.000,01000.000,0x0007,3,02005.611,02000.000,-1000.000,0x0007
WLS,023,4,00229.688,-0080.669
FFIX,023,4,00180.913,-0080.189
PRNG,024,0,00254.823,00000.000,00000.000,0x0007,1,00752.479,01000.000,00000.000,0x0007,2,01343.070,01000.000,01000.000,0x0007,3,01957.644,02000.000,-1000.000,0x0007
WLS,024,4,00239.986,-0119.694
FFIX,024,4,00195.682,-0090.065
PRNG,025,0,00287.800,00000.000,00000.000,0x0007,1,00752.479,01000.000,00000.000,0x0007,2,01319.086,01000.000,01000.000,0x0007,3,01966.638,02000.000,-1000.000,0x0007
WLS,025,4,00264.770,-0087.515
FFIX,025,4,00212.954,-0089.428
PRNG,026,0,00290.798,00000.000,00000.000,0x0007,1,00734.491,01000.000,00000.000,0x0007,2,01331.078,01000.000,01000.000,0x0007,3,01948.650,02000.000,-1000.000,0x0007
WLS,026,4,00269.762,-0109.650
FFIX,026,4,00227.156,-0094.483
PRNG,027,0,00269.813,00000.000,00000.000,0x0007,1,00755.476,01000.000,00000.000,0x0007,2,01316.088,01000.000,01000.000,0x0007,3,01966.638,02000.000,-1000.000,0x0007
WLS,027,4,00254.414,-0087.733
FFIX,027,4,00233.970,-0092.796
PRNG,028,0,00305.788,00000.000,00000.000,0x0007,1,00716.503,01000.000,00000.000,0x0007,2,01301.099,01000.000,01000.000,0x0007,3,01963.640,02000.000,-1000.000,0x0007
WLS,028,4,00288.245,-0071.062
FFIX,028,4,00237.362,-0091.437
PRNG,029,0,00317.780,00000.000,00000.000,0x0007,1,00701.514,01000.000,00000.000,0x0007,2,01274.117,01000.000,01000.000,0x0007,3,01957.644,02000.000,-1000.000,0x0007
WLS,029,4,00304.210,-0051.208
FFIX,029,4,00245.718,-0086.409
PRNG,030,0,00326.773,00000.000,00000.000,0x0007,1,00722.499,01000.000,00000.000,0x0007,2,01277.115,01000.000,01000.000,0x0007,3,01930.663,02000.000,-1000.000,0x0007
WLS,030,4,00306.611,-0071.286
FFIX,030,4,00249.524,-0085.464
PRNG,031,0,00311.784,00000.000,00000.000,0x0007,1,00701.514,01000.000,00000.000,0x0007,2,01262.126,01000.000,01000.000,0x0007,3,01933.661,02000.000,-1000.000,0x0007
WLS,031,4,00306.017,-0058.511
FFIX,031,4,00256.586,-0082.094
PRNG,032,0,00341.763,00000.000,00000.000,0x0007,1,00683.526,01000.000,00000.000,0x0007,2,01250.134,01000.000,01000.000,0x0007,3,01939.657,02000.000,-1000.000,0x0007
WLS,032,4,00328.119,-0040.281
FFIX,032,4,00292.353,-0061.188
PRNG,033,0,00347.759,00000.000,00000.000,0x0007,1,00656.545,01000.000,00000.000,0x0007,2,01244.138,01000.000,01000.000,0x0007,3,01924.667,02000.000,-1000.000,0x0007
WLS,033,4,00341.318,-0044.699
FFIX,033,4,00295.413,-0060.157
PRNG,034,0,00335.767,00000.000,00000.000,0x0007,1,00674.533,01000.000,00000.000,0x0007,2,01223.153,01000.000,01000.000,0x0007,3,01912.675,02000.000,-1000.000,0x0007
WLS,034,4,00334.991,-0036.894
FFIX,034,4,00297.887,-0058.703
